Episode 0, Reward: 21.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 36, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 37, Reward: 15.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 38, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 39, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 40, Reward: 15.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 41, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 42, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 43, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 44, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 45, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 46, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 47, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 48, Reward: 11.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 49, Reward: 15.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 50, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 51, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 52, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 53, Reward: 15.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 54, Reward: 20.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 55, Reward: 18.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 56, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 57, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 58, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 59, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 60, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 61, Reward: 11.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 62, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 63, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 64, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 65, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 66, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 67, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 68, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 69, Reward: 24.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 70, Reward: 11.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 71, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 72, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 73, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 74, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 75, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 76, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 77, Reward: 19.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 78, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 79, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 80, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 81, Reward: 16.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 82, Reward: 24.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 83, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 84, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 85, Reward: 11.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 86, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 87, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 88, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 89, Reward: 11.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 90, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 91, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 92, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 93, Reward: 11.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 94, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 95, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 96, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 97, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 98, Reward: 29.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 99, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 100, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 101, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 102, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 103, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 104, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 105, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 106, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 107, Reward: 15.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 108, Reward: 17.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 109, Reward: 11.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 110, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 111, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 112, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 113, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 114, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 115, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 116, Reward: 22.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 117, Reward: 18.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 118, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 119, Reward: 23.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 120, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 121, Reward: 9.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 122, Reward: 14.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 123, Reward: 12.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 124, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 125, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 126, Reward: 16.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 127, Reward: 15.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 128, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 129, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 130, Reward: 8.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 131, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 132, Reward: 17.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 133, Reward: 27.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 134, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
Episode 135, Reward: 13.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000
